State,SA4,At_least_one_dose_15,Fully_vaccinated_15,date
Other Territories,Other Territories,0.441,0.158,2021-08-02
New South Wales,Sydney - Outer South West,0.387,0.178,2021-08-02
New South Wales,Sydney - Outer West and Blue Mountains,0.391,0.179,2021-08-02
New South Wales,Sydney - Parramatta,0.351,0.177,2021-08-02
New South Wales,Sydney - Ryde,0.457,0.233,2021-08-02
New South Wales,Sydney - South West,0.331,0.146,2021-08-02
New South Wales,Sydney - Sutherland,0.489,0.225,2021-08-02
Northern Territory,Darwin,0.43,0.241,2021-08-02
Northern Territory,Northern Territory - Outback,0.343,0.222,2021-08-02
New South Wales,Sydney - Northern Beaches,0.477,0.209,2021-08-02
Queensland,Brisbane - East,0.402,0.173,2021-08-02
Queensland,Brisbane - South,0.378,0.206,2021-08-02
Queensland,Brisbane - West,0.462,0.245,2021-08-02
Queensland,Brisbane Inner City,0.403,0.219,2021-08-02
Queensland,Cairns,0.391,0.212,2021-08-02
Queensland,Darling Downs - Maranoa,0.369,0.153,2021-08-02
Queensland,Central Queensland,0.303,0.147,2021-08-02
Queensland,Gold Coast,0.344,0.18,2021-08-02
Queensland,Ipswich,0.318,0.157,2021-08-02
Queensland,Brisbane - North,0.414,0.211,2021-08-02
New South Wales,Sydney - Inner West,0.424,0.228,2021-08-02
New South Wales,Sydney - Inner South West,0.335,0.161,2021-08-02
New South Wales,Sydney - Eastern Suburbs,0.448,0.239,2021-08-02
Western Australia,Western Australia - Outback (South),0.298,0.133,2021-08-02
Australian Capital Territory,Australian Capital Territory,0.468,0.227,2021-08-02
New South Wales,Capital Region,0.468,0.179,2021-08-02
New South Wales,Central Coast,0.45,0.196,2021-08-02
New South Wales,Central West,0.404,0.167,2021-08-02
New South Wales,Coffs Harbour - Grafton,0.417,0.146,2021-08-02
New South Wales,Far West and Orana,0.341,0.134,2021-08-02
New South Wales,Hunter Valley exc Newcastle,0.375,0.141,2021-08-02
New South Wales,Illawarra,0.426,0.213,2021-08-02
New South Wales,Mid North Coast,0.455,0.175,2021-08-02
New South Wales,Murray,0.45,0.167,2021-08-02
New South Wales,New England and North West,0.382,0.151,2021-08-02
New South Wales,Newcastle and Lake Macquarie,0.413,0.177,2021-08-02
New South Wales,Richmond - Tweed,0.397,0.172,2021-08-02
New South Wales,Riverina,0.435,0.187,2021-08-02
New South Wales,Southern Highlands and Shoalhaven,0.505,0.22,2021-08-02
New South Wales,Sydney - Baulkham Hills and Hawkesbury,0.498,0.255,2021-08-02
New South Wales,Sydney - Blacktown,0.397,0.198,2021-08-02
New South Wales,Sydney - City and Inner South,0.362,0.197,2021-08-02
Queensland,Logan - Beaudesert,0.285,0.132,2021-08-02
Queensland,Mackay - Isaac - Whitsunday,0.271,0.102,2021-08-02
New South Wales,Sydney - North Sydney and Hornsby,0.519,0.269,2021-08-02
Queensland,Moreton Bay - South,0.37,0.175,2021-08-02
Victoria,Melbourne - Inner South,0.49,0.231,2021-08-02
Victoria,Melbourne - North East,0.398,0.178,2021-08-02
Victoria,Melbourne - North West,0.347,0.156,2021-08-02
Victoria,Melbourne - Outer East,0.439,0.183,2021-08-02
Victoria,Melbourne - South East,0.364,0.16,2021-08-02
Victoria,Melbourne - West,0.348,0.165,2021-08-02
Victoria,Mornington Peninsula,0.48,0.204,2021-08-02
Victoria,North West,0.457,0.194,2021-08-02
Victoria,Shepparton,0.46,0.193,2021-08-02
Victoria,Warrnambool and South West,0.516,0.23,2021-08-02
Western Australia,Bunbury,0.39,0.158,2021-08-02
Western Australia,Mandurah,0.407,0.169,2021-08-02
Western Australia,Perth - Inner,0.489,0.255,2021-08-02
Western Australia,Perth - North East,0.342,0.14,2021-08-02
Western Australia,Perth - North West,0.391,0.165,2021-08-02
Western Australia,Perth - South East,0.35,0.151,2021-08-02
Western Australia,Perth - South West,0.385,0.173,2021-08-02
Western Australia,Western Australia - Wheat Belt,0.369,0.151,2021-08-02
Queensland,Moreton Bay - North,0.395,0.185,2021-08-02
Victoria,Melbourne - Inner East,0.477,0.224,2021-08-02
Victoria,Melbourne - Inner,0.377,0.197,2021-08-02
Western Australia,Western Australia - Outback (North),0.182,0.086,2021-08-02
Queensland,Queensland - Outback,0.263,0.161,2021-08-02
Victoria,Latrobe - Gippsland,0.488,0.208,2021-08-02
Queensland,Sunshine Coast,0.426,0.212,2021-08-02
Queensland,Toowoomba,0.372,0.18,2021-08-02
Queensland,Townsville,0.363,0.191,2021-08-02
Queensland,Wide Bay,0.387,0.184,2021-08-02
South Australia,Adelaide - Central and Hills,0.455,0.224,2021-08-02
South Australia,Adelaide - South,0.461,0.228,2021-08-02
South Australia,Adelaide - West,0.359,0.167,2021-08-02
South Australia,Barossa - Yorke - Mid North,0.381,0.154,2021-08-02
South Australia,Adelaide - North,0.344,0.154,2021-08-02
South Australia,South Australia - South East,0.384,0.171,2021-08-02
Tasmania,Hobart,0.508,0.253,2021-08-02
Tasmania,Launceston and North East,0.501,0.27,2021-08-02
Victoria,Hume,0.499,0.199,2021-08-02
Tasmania,South East,0.465,0.191,2021-08-02
Tasmania,West and North West,0.42,0.218,2021-08-02
Victoria,Ballarat,0.481,0.235,2021-08-02
Victoria,Bendigo,0.526,0.251,2021-08-02
Victoria,Geelong,0.514,0.259,2021-08-02
South Australia,South Australia - Outback,0.358,0.169,2021-08-02
Tasmania,Hobart,0.533,0.291,2021-08-09
